# proximal rca1 only, 10-50 mm from the ostium (ostium at slab z=123), erode 8 px
shell_mm,n_geom,n_pv,n_gate,truth_HU,HU_pv,HU_gate,gt_water,gt_lipid,gt_protein,ms_water,ms_lipid,ms_protein,sem_water,sem_lipid,sem_protein,sd_lipid,in_statistics
1,3185,1,2355,-74.8174878945478,NaN,-53.6921273225432,0.24250521306882358,0.7318830743135694,0.025611712617607245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
2,4223,162,4038,-75.86612798323027,-73.27750297828958,-68.60296168570592,0.23708464221893827,0.7384629840601773,0.02445237372088438,0.22719332759114622,0.7337963599205606,0.03901031248829311,0.00819761044391998,0.006037415094148341,0.0024790670029041506,0.07684374877038558,false
3,5127,1110,4960,-76.82076803252538,-75.63862327369483,-71.1003277097979,0.23209776131623971,0.7444900260373303,0.023412212646429918,0.2552373793307757,0.7137142065980456,0.03104841407117859,0.003424841168028692,0.0026248020937362877,0.0009402313688445053,0.0874496454808335,true
4,5055,1349,4721,-77.75216898698999,-76.05233008495695,-68.9599046256678,0.2269463936900791,0.7505727036157185,0.02248090269420249,0.2605313464944963,0.7129436600309857,0.026524993474517884,0.0031014636126342468,0.0023996488618729882,0.0008216929982106196,0.08813606796725704,true
5,4637,1187,4217,-78.64612459716511,-78.23461090704927,-68.04489010455119,0.2218005566167869,0.7565535134652104,0.021645929918002602,0.23569639038296497,0.7346222411933693,0.029681368423665772,0.0032175167601552787,0.0025250504858379953,0.0008301133842543643,0.08699522692543792,true
6,3289,838,3013,-79.50574302882089,-80.07215100199625,-69.68360950889043,0.21667320085156094,0.7624314194463966,0.02089537970204243,0.21362841600553537,0.7517468419010308,0.034624742093433594,0.004134855179971979,0.0031670042526485125,0.0011316184511750858,0.09167916641535401,true
7,3114,714,2807,-80.33108441618113,-80.38246501527247,-69.51059278713073,0.21167193255597153,0.7681304132995261,0.02019765414450227,0.2212326587206586,0.7475967511785716,0.03117059010076964,0.004747881756448954,0.0037034066156155852,0.0012076127202524853,0.09895790761863295,true
8,2495,552,2316,-81.11858990405466,-80.10340056903121,-70.13863994749923,0.20681356237287585,0.7736292865580948,0.019557151069029246,0.2103514159332195,0.7610510119161443,0.0285975721506362,0.005011146729751625,0.003909406973514699,0.0013036380751334463,0.0918502668057098,true
9,2300,496,2161,-81.86870418645789,-81.08070710397536,-70.95747762959846,0.20203633550841146,0.7789729136420923,0.018990750849496328,0.208401383576483,0.7628496187401489,0.028748997683368218,0.004635174234980298,0.0034940037913465363,0.001349429768677283,0.07781515917220891,true
10,2191,460,2040,-82.58833309287677,-80.44030174587084,-71.1872685806424,0.1973020252445047,0.7842064170336036,0.018491557721891816,0.2194455616930176,0.7519331542433668,0.02862128406361564,0.0052797998111714945,0.003867370702608937,0.0015799311179216003,0.08294586083490274,true
11,2227,539,2096,-83.28214242391334,-83.50279203283986,-74.52527840992876,0.1927094761324546,0.7892720380388334,0.018018485828711944,0.18199065981828677,0.7863103162681887,0.03169902391352454,0.004426897417783992,0.003238547738153116,0.001381988015480099,0.07518733399175623,true
12,2396,676,2238,-83.94900270934404,-86.78190412464932,-77.2286957381984,0.18837975341753158,0.7940811299371838,0.017539116645284382,0.16696826718953314,0.8018711842609122,0.031160548549554714,0.0038200608481313548,0.002806327151483364,0.001185889981745691,0.07296450593856746,true
13,2719,900,2601,-84.58507223802317,-85.7682182015313,-77.95407720402267,0.184361902490357,0.7985889280099009,0.017049169499742063,0.19775140346642023,0.783116292109281,0.0191323044242986,0.00311679186224465,0.002382758278520913,0.000919770050269542,0.07148274835562739,true
14,3218,1020,3088,-85.20428376636637,-87.97584556130802,-81.00429701310983,0.18051356821036374,0.8029326404037663,0.016553791385869897,0.18944024295519415,0.7895400624730051,0.021019694571800668,0.003307861623119866,0.0025732767122747737,0.0009227732971980831,0.0821838676304199,true
15,3932,1047,3721,-85.77983537839359,-91.06092470127167,-85.21209654619668,0.17701579341553672,0.8069140107526365,0.016070195831826724,0.1382662650696428,0.8345994035789853,0.0271343313513719,0.00295076147513915,0.0022746857136279877,0.0008882801587659219,0.07360286859413213,true
16,4423,1095,4054,-86.3298652543224,-91.8991917266149,-87.99126479633935,0.1736406827562313,0.8107417950411617,0.015617522202606936,0.12034275384855914,0.8500151391720877,0.029642106979353062,0.0026009584781789765,0.0019253408283253495,0.0009218582815338763,0.06371103789149973,true
17,4705,1094,4217,-86.85692901637522,-91.42919040031363,-90.00959747256559,0.17035087335035382,0.8144491246256149,0.015200002024031253,0.11607141294498012,0.8502496704002196,0.03367891665480037,0.002931549829875607,0.0022131845229628262,0.0009506493170037157,0.0732025627389801,true
18,4594,1217,4103,-87.3633632843068,-89.34299957977521,-90.25655877180516,0.16713910797863274,0.8180472486484361,0.014813643372931179,0.1310271980687916,0.8364509125960754,0.0325218893351329,0.0030595274215062763,0.002372859921490628,0.0008959602507074211,0.08277846906013116,true
19,4401,1299,3852,-87.8500335020962,-88.68612379583604,-90.58323406207599,0.16401945857235678,0.8215284706560708,0.014452070771572489,0.14713645411515672,0.8210903355084062,0.031773210376437114,0.003329592130626061,0.002605984454531472,0.0009206272871740609,0.09392396028415934,true
20,4066,1441,3570,-88.31616739815153,-91.39171133100945,-90.64958997614244,0.16100142471996637,0.8248840464882948,0.01411452879173868,0.1653645032404048,0.8120657632587102,0.022569733500885144,0.0030760550528970932,0.002491140018318212,0.0007903892809042962,0.0945649350945612,true
